date;conta;valor;tp_conta
2019-08-01;outros_impostos;5,04004452260237e+08;
2018-10-01;transferencias_de_capital;5,13367911582449e+08;
2020-08-01;outros_impostos;5,13732032107246e+08;
2020-12-01;transferencias_de_capital;5,16422132347935e+08;
2019-06-01;iptu;5,22546909881229e+08;
2019-12-01;operacoes_de_credito;5,49846956005653e+08;
2020-10-01;operacoes_de_credito;5,57734407709390e+08;
2018-08-01;iptu;5,68568327989174e+08;
2018-04-01;iss;5,71127580869132e+08;
2020-08-01;iptu;5,76518852244481e+08;
2018-10-01;outros_impostos;5,91366702902471e+08;
2019-06-01;demais_rc;6,11577730320589e+08;
2020-10-01;demais_rc;6,14089199098666e+08;
2019-08-01;iptu;6,22036676941844e+08;
2019-10-01;outros_impostos;6,35091614306484e+08;
2018-10-01;iptu;6,43193357501003e+08;
2020-10-01;outros_impostos;6,47377638926547e+08;
2018-02-01;receitas_tributarias;6,47484172820126e+08;
2018-08-01;demais_rc;6,51745801548760e+08;
2019-08-01;receitas_de_capital;6,55012784111462e+08;
2018-10-01;receitas_de_capital;6,55328216840952e+08;
2020-10-01;iptu;6,62999582881025e+08;
2018-12-01;transferencias_de_capital;6,78684873027454e+08;
2018-06-01;iss;6,80701064337829e+08;
2020-06-01;iss;6,87236423301696e+08;
2020-08-01;receitas_de_capital;6,88078773395726e+08;
2019-02-01;receitas_tributarias;6,95927818035575e+08;
2020-02-01;receitas_tributarias;7,12411714205275e+08;
2021-02-01;receitas_tributarias;7,13426603862809e+08;
2020-12-01;operacoes_de_credito;7,15828845642932e+08;
2019-10-01;iptu;7,19201733627682e+08;
2018-02-01;transferencias_do_fundeb;7,23245544400530e+08;
2018-12-01;iptu;7,37420724586274e+08;
2020-12-01;iptu;7,40164666560672e+08;
2020-12-01;demais_rc;7,48811411251707e+08;
2019-06-01;iss;7,50683726624171e+08;
2019-10-01;receitas_de_capital;7,52909058015988e+08;
2018-02-01;cota_parte_do_fpm;7,57059723428043e+08;
2018-12-01;outros_impostos;7,73755802055053e+08;
2020-04-01;cota_parte_do_icms;7,75432132335960e+08;
2019-08-01;demais_rc;7,79478063446030e+08;
2018-04-01;cota_parte_do_icms;7,80360795408281e+08;
2019-12-01;iptu;7,97561024517912e+08;
2019-04-01;cota_parte_do_icms;8,14810972324279e+08;
2018-10-01;demais_rc;8,18268786262221e+08;
2019-02-01;cota_parte_do_fpm;8,22114160645848e+08;
2019-12-01;outros_impostos;8,24402802497120e+08;
2020-02-01;cota_parte_do_fpm;8,33599234540072e+08;
2019-02-01;transferencias_do_fundeb;8,50533831200213e+08;
2018-12-01;receitas_de_capital;8,58605413729732e+08;
2020-12-01;outros_impostos;8,65238921476083e+08;
2021-04-01;cota_parte_do_icms;8,73545940360000e+08;
2020-10-01;receitas_de_capital;8,94177372365350e+08;
2018-08-01;iss;9,23869827721758e+08;
2020-08-01;iss;9,30078729279376e+08;
2021-02-01;cota_parte_do_fpm;9,36651065548255e+08;
2021-02-01;demais_transferencias;9,89384272516325e+08;
2019-12-01;receitas_de_capital;1,01651640258649e+09;
2019-08-01;iss;1,01663958040816e+09;
2020-06-01;cota_parte_do_icms;1,05526758708335e+09;
2018-02-01;demais_transferencias;1,09077651533173e+09;
2020-02-01;demais_transferencias;1,10517954108454e+09;
2019-02-01;demais_transferencias;1,10700271466196e+09;
2018-06-01;cota_parte_do_icms;1,11370265787017e+09;
2018-12-01;demais_rc;1,11481493446515e+09;
2020-02-01;transferencias_do_fundeb;1,11697934899007e+09;
2021-02-01;transferencias_do_fundeb;1,14386778337867e+09;
2018-10-01;iss;1,16193345038998e+09;
2019-06-01;cota_parte_do_icms;1,17262525467444e+09;
2020-10-01;iss;1,17886087385044e+09;
2020-04-01;receitas_tributarias;1,18987138565375e+09;
2019-04-01;receitas_tributarias;1,21007547336090e+09;
2018-04-01;receitas_tributarias;1,24782747651944e+09;
2020-12-01;receitas_de_capital;1,24963467243728e+09;
2021-04-01;receitas_tributarias;1,25075587794000e+09;
2018-04-01;transferencias_do_fundeb;1,25729682810716e+09;
2019-10-01;iss;1,28515919297206e+09;
2019-10-01;demais_rc;1,36962851589748e+09;
2018-04-01;cota_parte_do_fpm;1,39197019689527e+09;
2020-04-01;cota_parte_do_fpm;1,41871311504628e+09;
2018-12-01;iss;1,43591999077548e+09;
2020-12-01;iss;1,44047871241197e+09;
2020-08-01;cota_parte_do_icms;1,45109552187885e+09;
2019-04-01;cota_parte_do_fpm;1,46187719127281e+09;
2018-08-01;cota_parte_do_icms;1,51147984387002e+09;
2019-04-01;transferencias_do_fundeb;1,54757902507733e+09;
2019-12-01;iss;1,55662944260568e+09;
2019-12-01;demais_rc;1,56321190757496e+09;
2019-08-01;cota_parte_do_icms;1,60274038698308e+09;
2018-06-01;receitas_tributarias;1,60551554388905e+09;
2020-06-01;receitas_tributarias;1,61496536623561e+09;
2021-04-01;cota_parte_do_fpm;1,63620264435000e+09;
2019-06-01;receitas_tributarias;1,73228535344505e+09;
2020-04-01;transferencias_do_fundeb;1,81702871048704e+09;
2020-10-01;cota_parte_do_icms;1,90797955638972e+09;
2021-04-01;demais_transferencias;1,91388846860000e+09;
2018-10-01;cota_parte_do_icms;1,91826902503731e+09;
2018-06-01;transferencias_do_fundeb;1,93580797246037e+09;
2020-06-01;cota_parte_do_fpm;1,95658164443084e+09;
2019-10-01;cota_parte_do_icms;2,04516754023503e+09;
2021-04-01;transferencias_do_fundeb;2,09164168994000e+09;
2018-06-01;cota_parte_do_fpm;2,09531454132795e+09;
2018-08-01;receitas_tributarias;2,10786969162221e+09;
2019-04-01;demais_transferencias;2,13782705301340e+09;
2019-06-01;cota_parte_do_fpm;2,13971410547962e+09;
2020-08-01;receitas_tributarias;2,14027321983568e+09;
2018-04-01;demais_transferencias;2,14844169238456e+09;
2019-08-01;receitas_tributarias;2,27919534732272e+09;
