date;cod_ibge;Executivo;Legislativo;total
2018-12-01;2303808;53,97;2,26;56,23
2019-04-01;2303808;52,96;2,28;55,24
2019-08-01;2303808;53,51;2,44;55,95
2019-12-01;2303808;52,75;2,53;55,28
2020-04-01;2303808;51,22;2,44;53,66
2020-08-01;2303808;47,07;2,21;49,28
2020-12-01;2303808;47,33;2,21;49,54
2021-04-01;2303808;46,50;2,25;48,75
2018-04-01;2303907;69,13;3,20;72,33
2018-08-01;2303907;60,82;2,95;63,77
2018-12-01;2303907;58,39;2,88;61,27
2019-04-01;2303907;56,93;2,91;59,84
2019-08-01;2303907;57,95;2,89;60,84
2019-12-01;2303907;57,96;2,83;60,79
2020-04-01;2303907;59,03;2,72;61,75
2020-08-01;2303907;60,02;2,68;62,70
2020-12-01;2303907;60,92;2,60;63,52
2021-04-01;2303907;58,16;2,58;60,74
2018-04-01;2303931;67,91;3,18;71,09
2018-08-01;2303931;57,10;2,54;59,64
2018-12-01;2303931;61,16;3,18;64,34
2019-04-01;2303931;55,51;2,94;58,45
2019-08-01;2303931;53,18;3,15;56,33
2019-12-01;2303931;63,51;3,05;66,56
2020-04-01;2303931;59,34;3,05;62,39
2020-08-01;2303931;63,79;2,81;66,60
2020-12-01;2303931;62,38;2,73;65,11
2021-04-01;2303931;58,02;2,52;60,54
2018-04-01;2303956;55,61;2,69;58,30
2018-08-01;2303956;50,22;2,52;52,74
2018-12-01;2303956;53,61;2,60;56,21
2019-04-01;2303956;51,24;2,49;53,73
2019-08-01;2303956;52,96;2,40;55,36
2019-12-01;2303956;48,89;2,46;51,35
2020-04-01;2303956;49,31;2,37;51,68
2020-08-01;2303956;50,06;2,32;52,38
2020-12-01;2303956;51,87;2,34;54,21
2021-04-01;2303956;51,10;2,32;53,42
2018-04-01;2304004;55,45;3,00;58,45
2018-08-01;2304004;54,12;3,07;57,19
2018-12-01;2304004;55,83;3,24;59,07
2019-04-01;2304004;53,17;3,05;56,22
2019-08-01;2304004;52,66;2,92;55,58
2019-12-01;2304004;50,62;2,62;53,24
2020-04-01;2304004;51,54;2,62;54,16
2020-08-01;2304004;49,83;2,41;52,24
2020-12-01;2304004;50,15;2,42;52,57
2018-04-01;2304103;51,26;2,47;53,73
2018-08-01;2304103;47,00;2,31;49,31
